order_id,date,product,category,quantity,unit_price,region
1001,2026-01-05,Wireless Mouse,Electronics,2,15.99,North
1002,2026-01-05,Notebook,Stationery,5,3.50,south
1003,2026-01-06,Wireless Mouse,Electronics,,15.99,North
1004,2026-01-06,Desk Lamp,electronics,1,29.00,East
1005,2026-01-07,Notebook,Stationery,10,3.50,South
1006,2026-01-07,USB Cable,Electronics,3,7.25,west
1007,2026-01-08,Desk Lamp,Electronics,2,29.00,East
1008,2026-01-08,Coffee Mug,Kitchen,4,8.99,North
1009,2026-01-09,USB Cable,Electronics,-1,7.25,West
1010,2026-01-09,Notebook,Stationery,2,3.50,South
1011,2026-01-10,Coffee Mug,kitchen,6,8.99,north
1012,2026-01-10,Wireless Mouse,Electronics,1,15.99,East
1013,,Desk Lamp,Electronics,3,29.00,East
1014,2026-01-11,USB Cable,Electronics,5,7.25,West
1015,2026-01-12,Coffee Mug,Kitchen,2,8.99,North
1016,2026-01-12,Notebook,Stationery,8,3.50,South
1017,2026-01-13,Wireless Mouse,Electronics,3,15.99,West
1018,2026-01-13,Desk Lamp,Electronics,,29.00,East
1019,2026-01-14,Coffee Mug,Kitchen,1,8.99,north
1020,2026-01-14,USB Cable,Electronics,4,7.25,South
